万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,Unnamed: 66
000001.SZ,1,20231123,91500000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,200,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91500000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,200,5700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91509000,0,0,0,0,0,,,0,0,0,0,0,101600,101700,0,0,0,0,0,0,0,0,0,26200,19200,0,0,0,0,0,0,0,0,101700,0,0,0,0,0,0,0,0,0,26200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91518000,0,0,0,0,0,,,0,0,0,0,0,101600,101800,0,0,0,0,0,0,0,0,0,94200,4800,0,0,0,0,0,0,0,0,101800,0,0,0,0,0,0,0,0,0,94200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91527000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,76700,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,76700,37200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91545000,0,0,0,0,0,,,0,0,0,0,0,101600,101700,0,0,0,0,0,0,0,0,0,86000,18900,0,0,0,0,0,0,0,0,101700,0,0,0,0,0,0,0,0,0,86000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91554000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,98000,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,98000,38400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91603000,0,0,0,0,0,,,0,0,0,0,0,101600,101400,0,0,0,0,0,0,0,0,0,191200,0,0,0,0,0,0,0,0,0,101400,0,0,0,0,0,0,0,0,0,191200,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91612000,0,0,0,0,0,,,0,0,0,0,0,101600,101600,0,0,0,0,0,0,0,0,0,200100,0,0,0,0,0,0,0,0,0,101600,0,0,0,0,0,0,0,0,0,200100,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91621000,0,0,0,0,0,,,0,0,0,0,0,101600,101800,0,0,0,0,0,0,0,0,0,86500,24700,0,0,0,0,0,0,0,0,101800,0,0,0,0,0,0,0,0,0,86500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91648000,0,0,0,0,0,,,0,0,0,0,0,101600,101800,0,0,0,0,0,0,0,0,0,86900,24300,0,0,0,0,0,0,0,0,101800,0,0,0,0,0,0,0,0,0,86900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
000001.SZ,1,20231123,91657000,0,0,0,0,0,,,0,0,0,0,0,101600,101800,0,0,0,0,0,0,0,0,0,86900,27400,0,0,0,0,0,0,0,0,101800,0,0,0,0,0,0,0,0,0,86900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
