万得代码,交易所代码,自然日,时间,成交价,成交量,成交额,成交笔数,IOPV,成交标志,BS标志,当日累计成交量,当日成交额,最高价,最低价,开盘价,前收盘,申卖价1,申卖价2,申卖价3,申卖价4,申卖价5,申卖价6,申卖价7,申卖价8,申卖价9,申卖价10,申卖量1,申卖量2,申卖量3,申卖量4,申卖量5,申卖量6,申卖量7,申卖量8,申卖量9,申卖量10,申买价1,申买价2,申买价3,申买价4,申买价5,申买价6,申买价7,申买价8,申买价9,申买价10,申买量1,申买量2,申买量3,申买量4,申买量5,申买量6,申买量7,申买量8,申买量9,申买量10,加权平均叫卖价,加权平均叫买价,叫卖总量,叫买总量,不加权指数,品种总数,上涨品种数,下跌品种数,持平品种数,
600000.SH,600000,20220104,91355000,0,0,0,0,0,,,0,0,0,0,0,85300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91400000,0,0,0,0,0,,,0,0,0,0,0,85300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91400000,0,0,0,0,0,,,0,0,0,0,0,85300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91446000,0,0,0,0,0,,,0,0,0,0,0,85300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91503000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,6200,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,6200,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91506000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,8100,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,8100,13400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91509000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9500,20800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91512000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9500,26200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91515000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9700,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91527000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9700,31800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91545000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9700,32100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91548000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9700,32100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91551000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9700,32200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91557000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9700,35200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91600000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9700,35100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91612000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9100,35700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91615000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9100,37700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91627000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9100,50200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91648000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9100,50200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91654000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,9300,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,9300,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91712000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,12300,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,12300,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91748000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,12300,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,12300,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91748000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,12300,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,12300,48000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91754000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,39700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91800000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,39800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91812000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,39900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91821000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,41900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91850000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,41900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91854000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91921000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91936000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,45700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91939000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,46900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91942000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,46700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91945000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,48500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91950000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,48500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91951000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,50900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,91957000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20700,51100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92003000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20800,54500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92012000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20800,57200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92050000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20800,57200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92103000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20800,60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92106000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20800,61700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92133000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20800,61800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92148000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20800,64800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92150000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,20800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,20800,64800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92215000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,25800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,25800,59900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92218000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,25800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,25800,60500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92236000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,25800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,25800,60600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92250000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,25800,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,25800,60600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92254000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,27000,59400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92257000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,27000,59900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92315000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,32200,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,32200,54700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92318000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,32200,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,32200,55700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92321000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,32200,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,32200,56700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92327000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,33900,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,33900,55000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
600000.SH,600000,20220104,92333000,0,0,0,0,0,,,0,0,0,0,0,85300,85400,0,0,0,0,0,0,0,0,0,34000,0,0,0,0,0,0,0,0,0,85400,0,0,0,0,0,0,0,0,0,34000,54900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
