万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600000.SH,600000,20220104,91500140,0,54,A,B,83000,100,
600000.SH,600000,20220104,91500140,0,87,A,B,80000,100,
600000.SH,600000,20220104,91500140,0,92,A,B,93000,100,
600000.SH,600000,20220104,91500190,0,154,A,B,85300,100,
600000.SH,600000,20220104,91500190,0,155,A,B,85300,100,
600000.SH,600000,20220104,91500250,0,92,D,B,93000,100,
600000.SH,600000,20220104,91500250,0,203,A,B,85300,100,
600000.SH,600000,20220104,91500280,0,222,A,B,85300,100,
600000.SH,600000,20220104,91500280,0,236,A,B,85300,100,
600000.SH,600000,20220104,91500280,0,245,A,B,76800,100,
600000.SH,600000,20220104,91500350,0,407,A,B,85300,100,
600000.SH,600000,20220104,91500350,0,408,A,B,85300,100,
600000.SH,600000,20220104,91500350,0,409,A,B,85300,100,
600000.SH,600000,20220104,91500350,0,410,A,B,80000,100,
600000.SH,600000,20220104,91500380,0,456,A,B,76800,100,
600000.SH,600000,20220104,91500380,0,245,D,B,76800,100,
600000.SH,600000,20220104,91500380,0,456,D,B,76800,100,
600000.SH,600000,20220104,91500380,0,484,A,S,85700,8200,
600000.SH,600000,20220104,91500380,0,528,A,B,85000,200,
600000.SH,600000,20220104,91500380,0,532,A,B,85300,100,
600000.SH,600000,20220104,91500380,0,533,A,B,85300,100,
600000.SH,600000,20220104,91500380,0,534,A,B,85300,100,
600000.SH,600000,20220104,91500450,0,203,D,B,85300,100,
600000.SH,600000,20220104,91500450,0,668,A,B,85400,100,
600000.SH,600000,20220104,91500480,0,783,A,B,85300,100,
600000.SH,600000,20220104,91500480,0,155,D,B,85300,100,
600000.SH,600000,20220104,91500480,0,236,D,B,85300,100,
600000.SH,600000,20220104,91500480,0,154,D,B,85300,100,
600000.SH,600000,20220104,91500480,0,222,D,B,85300,100,
600000.SH,600000,20220104,91500520,0,1026,A,S,87900,5000,
600000.SH,600000,20220104,91500520,0,1078,A,S,86200,2500,
600000.SH,600000,20220104,91500520,0,1079,A,S,87200,2500,
600000.SH,600000,20220104,91500520,0,1096,A,B,85000,1000,
600000.SH,600000,20220104,91500520,0,410,D,B,80000,100,
600000.SH,600000,20220104,91500520,0,1248,A,S,88800,12000,
600000.SH,600000,20220104,91500520,0,1261,A,S,88200,2500,
