市场代码,证券代码,时间,最新价,成交笔数,成交额,成交量,方向,买一价,买二价,买三价,买四价,买五价,卖一价,卖二价,卖三价,卖四价,卖五价,买一量,买二量,买三量,买四量,买五量,卖一量,卖二量,卖三量,卖四量,卖五量
SH,601611,2017-01-06 09:25:02,17.9000,189,3034050.0000,1695,B,17.8900,17.8800,17.8700,17.8600,17.8500,17.9000,17.9200,17.9300,17.9400,17.9500,10,54,10,146,680,623,2,5,23,36
SH,601611,2017-01-06 09:30:02,17.8800,41,704696.0000,394,S,17.8700,17.8600,17.8500,17.8400,17.8300,17.8800,17.8900,17.9000,17.9200,17.9300,506,415,876,13,109,6,899,1282,2,50
SH,601611,2017-01-06 09:30:05,17.8800,238,7126987.0000,3988,B,17.8800,17.8700,17.8600,17.8500,17.8400,17.8900,17.9000,17.9100,17.9200,17.9300,43,156,130,44,22,470,1403,7,2,50
SH,601611,2017-01-06 09:30:08,17.8900,37,493672.0000,276,B,17.8700,17.8600,17.8500,17.8400,17.8300,17.8900,17.9000,17.9100,17.9200,17.9300,192,306,76,22,31,339,1484,7,2,50
SH,601611,2017-01-06 09:30:11,17.8900,21,141245.0000,79,B,17.8800,17.8700,17.8600,17.8500,17.8400,17.8900,17.9000,17.9100,17.9200,17.9300,1,153,311,106,32,318,1497,7,2,50
SH,601611,2017-01-06 09:30:14,17.8900,10,189565.0000,106,B,17.8800,17.8700,17.8600,17.8500,17.8400,17.8900,17.9000,17.9100,17.9200,17.9300,53,203,311,106,32,278,1497,7,2,50
SH,601611,2017-01-06 09:30:17,17.8900,9,119863.0000,67,B,17.8800,17.8700,17.8600,17.8500,17.8400,17.8900,17.9000,17.9100,17.9200,17.9300,53,209,306,106,32,240,1497,7,2,50
SH,601611,2017-01-06 09:30:20,17.8900,12,127005.0000,71,B,17.8800,17.8700,17.8600,17.8500,17.8400,17.8900,17.9000,17.9100,17.9200,17.9300,38,209,306,106,32,241,1497,7,2,50
SH,601611,2017-01-06 09:30:23,17.9000,22,520610.0000,291,B,17.8900,17.8800,17.8700,17.8600,17.8500,17.9000,17.9100,17.9200,17.9300,17.9400,278,120,259,306,106,1466,7,2,50,32
SH,601611,2017-01-06 09:30:26,17.8900,20,1018496.0000,569,S,17.8900,17.8800,17.8700,17.8600,17.8500,17.9000,17.9100,17.9200,17.9300,17.9400,284,120,259,306,101,907,7,2,50,32
SH,601611,2017-01-06 09:30:29,17.8900,8,105592.0000,59,S,17.8900,17.8800,17.8700,17.8600,17.8500,17.9000,17.9100,17.9200,17.9300,17.9400,285,182,259,306,111,797,7,2,50,32
SH,601611,2017-01-06 09:30:32,17.9000,23,1229729.0000,687,B,17.8900,17.8800,17.8700,17.8600,17.8500,17.9000,17.9100,17.9200,17.9300,17.9400,305,184,259,306,111,110,7,2,50,32
SH,601611,2017-01-06 09:30:35,17.9000,14,239330.0000,134,B,17.9000,17.8900,17.8800,17.8700,17.8600,17.9300,17.9400,17.9500,17.9700,17.9800,1074,400,190,259,306,50,32,83,211,34
SH,601611,2017-01-06 09:30:38,17.9100,8,220353.0000,123,B,17.9100,17.9000,17.8900,17.8800,17.8700,17.9400,17.9500,17.9700,17.9800,17.9900,54,1180,435,190,265,27,83,211,34,93
SH,601611,2017-01-06 09:30:41,17.9000,7,163027.0000,91,S,17.9000,17.8900,17.8800,17.8700,17.8600,17.9400,17.9500,17.9700,17.9800,17.9900,1496,458,199,265,306,23,83,211,34,93
SH,601611,2017-01-06 09:30:44,17.9400,4,21508.0000,12,B,17.9300,17.9200,17.9100,17.9000,17.8900,17.9400,17.9500,17.9700,17.9800,17.9900,8,20,22,1585,535,16,73,211,34,93
SH,601611,2017-01-06 09:30:47,17.9400,17,249051.0000,139,B,17.9300,17.9200,17.9100,17.9000,17.8900,17.9400,17.9500,17.9700,17.9800,17.9900,16,7,19,1598,438,15,73,211,34,93
SH,601611,2017-01-06 09:30:50,17.9500,9,123820.0000,69,B,17.9400,17.9300,17.9200,17.9100,17.9000,17.9500,17.9700,17.9800,17.9900,18.0000,4,18,8,139,1646,29,211,34,93,475
SH,601611,2017-01-06 09:30:53,17.9500,16,165058.0000,92,B,17.9300,17.9200,17.9100,17.9000,17.8900,17.9500,17.9700,17.9800,17.9900,18.0000,24,8,168,1618,468,2,211,34,93,466
SH,601611,2017-01-06 09:30:56,17.9500,13,57412.0000,32,B,17.9300,17.9200,17.9100,17.9000,17.8900,17.9600,17.9700,17.9800,17.9900,18.0000,99,8,161,1620,478,100,211,34,93,466
SH,601611,2017-01-06 09:30:59,17.9800,15,636079.0000,354,B,17.9800,17.9500,17.9400,17.9300,17.9200,17.9900,18.0000,18.0100,18.0200,18.0300,7,5,103,113,8,89,666,134,9,73
SH,601611,2017-01-06 09:31:02,17.9500,11,66456.0000,37,S,17.9500,17.9400,17.9300,17.9200,17.9100,17.9800,17.9900,18.0000,18.0100,18.0200,20,150,181,119,272,6,89,666,134,9
SH,601611,2017-01-06 09:31:05,17.9800,29,412636.0000,230,B,17.9700,17.9500,17.9400,17.9300,17.9200,17.9800,17.9900,18.0000,18.0100,18.0200,97,18,17,154,122,5,89,666,134,9
SH,601611,2017-01-06 09:31:08,17.9900,9,134900.0000,75,B,17.9700,17.9600,17.9500,17.9400,17.9300,17.9900,18.0000,18.0100,18.0200,18.0300,87,31,21,19,150,61,656,134,9,58
SH,601611,2017-01-06 09:31:11,17.9800,14,161868.0000,90,S,17.9700,17.9600,17.9500,17.9400,17.9300,17.9800,17.9900,18.0000,18.0100,18.0200,82,39,43,23,150,8,207,656,129,9
SH,601611,2017-01-06 09:31:14,17.9500,30,618460.0000,344,S,17.9500,17.9400,17.9300,17.9200,17.9100,17.9900,18.0000,18.0100,18.0200,18.0300,128,43,81,121,179,250,656,129,9,58
SH,601611,2017-01-06 09:31:17,17.9700,9,89868.0000,50,B,17.9600,17.9500,17.9400,17.9300,17.9200,17.9700,17.9800,17.9900,18.0000,18.0100,5,146,88,74,121,8,200,241,656,129
SH,601611,2017-01-06 09:31:20,18.0000,69,2277488.0000,1266,B,18.0000,17.9900,17.9500,17.9400,17.9300,18.0100,18.0200,18.0300,18.0400,18.0500,77,250,370,108,71,129,9,558,314,31
SH,601611,2017-01-06 09:31:23,17.9900,20,606340.0000,337,S,17.9900,17.9800,17.9600,17.9500,17.9400,18.0100,18.0200,18.0300,18.0400,18.0500,28,156,5,371,81,129,9,558,314,31
SH,601611,2017-01-06 09:31:26,17.9800,19,386668.0000,215,S,17.9800,17.9700,17.9600,17.9500,17.9400,18.0000,18.0100,18.0200,18.0300,18.0400,56,20,43,376,80,9,141,9,558,314
SH,601611,2017-01-06 09:31:29,18.0100,13,325942.0000,181,B,18.0100,18.0000,17.9900,17.9800,17.9700,18.0200,18.0300,18.0400,18.0500,18.0600,380,54,31,108,20,9,558,314,31,13
SH,601611,2017-01-06 09:31:32,18.0100,5,360212.0000,200,S,18.0100,18.0000,17.9900,17.9800,17.9700,18.0200,18.0300,18.0400,18.0500,18.0600,221,91,277,125,20,121,557,294,31,13
SH,601611,2017-01-06 09:31:35,18.0100,15,484514.0000,269,S,18.0100,18.0000,17.9900,17.9800,17.9700,18.0200,18.0300,18.0400,18.0500,18.0600,260,114,309,135,27,76,557,294,31,13
SH,601611,2017-01-06 09:31:38,18.0300,24,455864.0000,253,B,18.0200,18.0100,18.0000,17.9900,17.9800,18.0300,18.0400,18.0500,18.0600,18.0700,8,1033,115,309,141,489,294,31,13,22
SH,601611,2017-01-06 09:31:41,18.0200,23,518894.0000,288,S,18.0200,18.0100,18.0000,17.9900,17.9800,18.0300,18.0400,18.0500,18.0600,18.0700,20,1006,144,326,138,489,294,46,13,22
SH,601611,2017-01-06 09:31:44,18.0100,37,744222.0000,413,S,18.0100,18.0000,17.9900,17.9800,17.9700,18.0300,18.0400,18.0500,18.0600,18.0700,917,95,322,138,27,385,294,66,13,52
SH,601611,2017-01-06 09:31:47,18.0200,9,484932.0000,269,B,18.0200,18.0100,18.0000,17.9900,17.9800,18.0300,18.0400,18.0500,18.0600,18.0700,20,917,87,315,118,189,294,66,13,52
SH,601611,2017-01-06 09:31:50,18.0300,20,196468.0000,109,B,18.0100,18.0000,17.9900,17.9800,17.9700,18.0300,18.0400,18.0500,18.0600,18.0700,936,86,288,69,23,137,291,66,13,52
SH,601611,2017-01-06 09:31:53,18.0300,18,434340.0000,241,B,18.0200,18.0100,18.0000,17.9900,17.9800,18.0300,18.0400,18.0500,18.0600,18.0700,10,951,86,66,59,51,287,66,13,52
SH,601611,2017-01-06 09:31:56,18.0300,19,495932.0000,275,B,18.0300,18.0200,18.0100,18.0000,17.9900,18.0400,18.0500,18.0600,18.0700,18.0800,581,46,948,96,66,179,69,13,52,67
SH,601611,2017-01-06 09:31:59,18.0400,20,629378.0000,349,B,18.0300,18.0200,18.0100,18.0000,17.9900,18.0400,18.0500,18.0600,18.0700,18.0800,545,59,949,96,66,49,68,13,52,67
SH,601611,2017-01-06 09:32:02,18.0300,22,250714.0000,139,S,18.0300,18.0200,18.0100,18.0000,17.9900,18.0400,18.0500,18.0600,18.0700,18.0800,761,77,970,96,66,10,44,13,52,74
SH,601611,2017-01-06 09:32:05,18.0800,51,1340040.0000,743,B,18.0400,18.0300,18.0200,18.0100,18.0000,18.0800,18.0900,18.1000,18.1100,18.1200,130,282,125,910,85,64,28,377,6,38
SH,601611,2017-01-06 09:32:08,18.0400,7,153380.0000,85,S,18.0400,18.0300,18.0200,18.0100,18.0000,18.0700,18.0800,18.0900,18.1000,18.1100,132,308,91,917,98,5,64,28,377,6
SH,601611,2017-01-06 09:32:11,18.0500,14,166084.0000,92,B,18.0500,18.0400,18.0300,18.0200,18.0100,18.0800,18.0900,18.1000,18.1100,18.1200,11,139,648,109,917,64,29,327,6,38
SH,601611,2017-01-06 09:32:14,18.0500,11,137136.0000,76,S,18.0500,18.0400,18.0300,18.0200,18.0100,18.0700,18.0800,18.0900,18.1000,18.1100,7,143,705,121,907,2,179,60,327,6
SH,601611,2017-01-06 09:32:17,18.0800,13,204240.0000,113,B,18.0600,18.0500,18.0400,18.0300,18.0200,18.0800,18.0900,18.1000,18.1100,18.1200,3,7,196,724,121,133,58,321,6,38
SH,601611,2017-01-06 09:32:20,18.0900,24,314564.0000,174,B,18.0800,18.0600,18.0500,18.0400,18.0300,18.0900,18.1000,18.1100,18.1200,18.1300,50,20,64,435,729,164,331,6,38,10
SH,601611,2017-01-06 09:32:23,18.0600,24,493436.0000,273,S,18.0600,18.0500,18.0400,18.0300,18.0200,18.0700,18.0800,18.0900,18.1000,18.1100,16,82,554,723,221,1490,90,164,321,6
SH,601611,2017-01-06 09:32:26,18.0600,19,225860.0000,125,S,18.0500,18.0400,18.0300,18.0200,18.0100,18.0600,18.0700,18.0800,18.0900,18.1000,92,499,723,217,883,29,1414,105,169,829
SH,601611,2017-01-06 09:32:29,18.0500,36,567112.0000,314,S,18.0500,18.0400,18.0300,18.0200,18.0100,18.0600,18.0700,18.0800,18.0900,18.1000,8,464,717,217,896,275,1303,569,169,839
